  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = PC1 ~ normal.data$week_number)

$`normal.data$week_number`
           diff        lwr        upr     p adj
2-1 -2.20907157 -3.8875822 -0.5305609 0.0019019
3-1 -1.89599009 -3.1064914 -0.6854888 0.0000754
4-1 -2.18421165 -3.9262499 -0.4421734 0.0039094
5-1 -2.11554143 -4.0963617 -0.1347211 0.0269583
6-1 -3.01225997 -4.8793463 -1.1451736 0.0000389
7-1 -2.45369777 -3.6236277 -1.2837679 0.0000000
8-1 -1.71992333 -3.6399742  0.2001275 0.1163633
3-2  0.31308148 -1.1445551  1.7707181 0.9979786
4-2  0.02485993 -1.8971412  1.9468611 1.0000000
5-2  0.09353014 -2.0472735  2.2343338 1.0000000
6-2 -0.80318840 -2.8392145  1.2328377 0.9300672
7-2 -0.24462619 -1.6687494  1.1794970 0.9995265
8-2  0.48914825 -1.5955547  2.5738512 0.9964658
4-3 -0.28822156 -1.8185822  1.2421391 0.9991340
5-3 -0.21955134 -2.0170372  1.5779346 0.9999519
6-3 -1.11626988 -2.7875920  0.5550523 0.4570335
7-3 -0.55770768 -1.3799256  0.2645103 0.4360240
8-3  0.17606676 -1.5542227  1.9063563 0.9999862
5-4  0.06867022 -2.1222975  2.2596379 1.0000000
6-4 -0.82804832 -2.9167565  1.2606598 0.9283037
7-4 -0.26948612 -1.7679608  1.2289885 0.9993596
8-4  0.46428832 -1.6718965  2.6004732 0.9978203
6-5 -0.89671854 -3.1883672  1.3949301 0.9328860
7-5 -0.33815634 -2.1085738  1.4322611 0.9990509
8-5  0.39561810 -1.9393846  2.7306208 0.9995675
7-6  0.55856220 -1.0836133  2.2007377 0.9680841
8-6  1.29233664 -0.9469935  3.5316668 0.6459653
8-7  0.73377444 -0.9683784  2.4359273 0.8920537

